名前,分類,写真状態,画像URL,出典ページ,ローカル差し替え用ファイル名
岸蒼太,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/784/5990dafb8c1b06ad21976ba0fcf94.jpg,https://jr-official.starto.jp/s/jr/persons/259,assets/photos/jr_t_9694d01592.jpg
渡辺惟良,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/87a/eadf7c8a660f4a1a86582310a21ac.jpg,https://jr-official.starto.jp/s/jr/persons/303,assets/photos/jr_t_22476bda8c.jpg
岡橋亮汰,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/042/e7af33ce78bd624860a98b3edae9b.jpg,https://jr-official.starto.jp/s/jr/persons/257,assets/photos/jr_t_843c0ff3fa.jpg
小山十輝,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/735/29eb98efdb685a9c2f113d93d83ac.jpg,https://jr-official.starto.jp/s/jr/persons/310,assets/photos/jr_t_185c5d65d1.jpg
小久保向一朗,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/45e/cf0eb79fa02b1c627708f988e3337.jpg,https://jr-official.starto.jp/s/jr/persons/308,assets/photos/jr_t_48dd670f53.jpg
林田芯,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/f53/14fcd1fb7a823fce5a9dd0653dd93.jpg,https://jr-official.starto.jp/s/jr/persons/307,assets/photos/jr_t_8bbb22c17c.jpg
壹岐碧,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/fce/db9d8d8c62c9b99f5d7058af28fd6.jpg,https://jr-official.starto.jp/s/jr/persons/302,assets/photos/jr_t_656ed6e788.jpg
善如寺來,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/998/42d2632b79104ba571afa384a0567.jpg,https://jr-official.starto.jp/s/jr/persons/343,assets/photos/jr_t_e3005aa8bd.jpg
鈴木瑛朝,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/9fc/57dd933a9f9626b2a125901744c3e.jpg,https://jr-official.starto.jp/s/jr/persons/301,assets/photos/jr_t_c8cb15bf41.jpg
宮岡大愛,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/cae/c340d7884f8179bd60e945a74840d.jpg,https://jr-official.starto.jp/s/jr/persons/334,assets/photos/jr_t_a5bb61eeb2.jpg
高橋奏琉,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/b16/1f4d607c0fbe29b51758d0178007f.jpg,https://jr-official.starto.jp/s/jr/persons/306,assets/photos/jr_t_5bed931367.jpg
田代海瑠,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/e52/b64d804a86e44f7c843ed30c46286.jpg,https://jr-official.starto.jp/s/jr/persons/346,assets/photos/jr_t_62cd654f60.jpg
新宮楓真,東京無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/eec/f0cad5ada4ad5f56d33298d17ed3f.jpg,https://jr-official.starto.jp/s/jr/persons/342,assets/photos/jr_t_8e58d7d7a7.jpg
嶋﨑斗亜,関西無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/58c/dd1488800e62dfb7093a87e9341a0.jpg,https://jr-official.starto.jp/s/jr/persons/57,assets/photos/jr_k_656e1298cf.jpg
大西風雅,関西無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/c92/d3ca4b70ba89d2de5c8ba8a199ec7.jpg,https://jr-official.starto.jp/s/jr/persons/59,assets/photos/jr_k_550dfbc953.jpg
岡﨑彪太郎,関西無所ジュニア,参照設定済み,https://jr-official.starto.jp/images/40/73f/6cffb0cbaa4362d9a8b46dac84277.jpg,https://jr-official.starto.jp/s/jr/persons/60,assets/photos/jr_k_4ee7f2ddd5.jpg
